Feature,BetaMean,BetaSD,BetaHDI_3%,BetaHDI_97%,OddsRatio,OR_HDI_3%,OR_HDI_97%,Rhat,ESS_bulk
sub_grade_D4,0.2936,0.1697,-0.0222,0.5965,1.341247297433906,0.9780446065677002,1.8157525320576224,0.9984,1083.835
sub_grade_C5,0.2348,0.1834,-0.1223,0.5707,1.2646558122756342,0.88488286381977,1.76950527169627,1.0027,545.4885
sub_grade_D2,-0.2276,0.1821,-0.5422,0.1418,0.7964427732378215,0.5814676154359223,1.1523461562572939,1.0032,1341.801
sub_grade_C3,-0.211,0.1769,-0.5618,0.1162,0.8097740668812763,0.570181812337605,1.1232204937690962,1.0039,569.992
term_ 60 months,-0.1655,0.1375,-0.4215,0.1002,0.8474698632049227,0.6560619883935562,1.1053919743641547,1.0033,545.0427
sub_grade_E1,-0.165,0.187,-0.5028,0.2182,0.8478937040879159,0.6048347492480831,1.2438358099059854,1.0029,618.9451
sub_grade_C4,0.1646,0.1775,-0.1541,0.5179,1.1789214558027765,0.8571862980955736,1.6784990979106391,1.0011,472.8929
sub_grade_E3,0.1518,0.1903,-0.2022,0.4998,1.1639274276664784,0.8169315252974574,1.6483915594182155,1.0032,524.2695
purpose_small_business,0.1427,0.2128,-0.2546,0.5514,1.1533837346381604,0.7752265265618518,1.735681271473319,1.0014,995.0177
sub_grade_F2,0.1421,0.2173,-0.2344,0.5314,1.1526919119649341,0.7910453344697306,1.7013124795815295,0.9991,1132.4378
purpose_credit_card,-0.1321,0.142,-0.3868,0.1198,0.8762533653614243,0.6792269267283495,1.1272713747574936,1.006,334.63
sub_grade_E5,-0.1067,0.2189,-0.5182,0.2937,0.8987952711299015,0.5955916486579625,1.3413814288701094,1.0024,1225.979
sub_grade_F1,-0.1064,0.2191,-0.5115,0.3104,0.8990649501610727,0.5995955106639216,1.3639705932663844,0.9989,1332.3831
purpose_debt_consolidation,-0.0996,0.1299,-0.343,0.1299,0.90519942539982,0.7096382115602087,1.1387145061802415,1.0058,275.4725
sub_grade_C2,-0.099,0.1821,-0.4637,0.2171,0.9057427080235485,0.6289522118306281,1.2424683427599053,1.0021,578.6473
sub_grade_B4,0.0978,0.1865,-0.2488,0.4447,1.1027422146092711,0.7797359049720163,1.560022118988954,1.0011,872.23
sub_grade_G2,-0.0957,0.2342,-0.5145,0.3242,0.9087365961584959,0.5977994196155705,1.3829238642356931,0.9991,811.49
sub_grade_C1,-0.0949,0.1924,-0.4084,0.2866,0.9094638763086945,0.6647129404620908,1.3318913503700116,1.0027,623.3563
purpose_moving,-0.0938,0.2124,-0.4804,0.2945,0.9104648370000841,0.6185359279454901,1.3424549633697502,1.0012,952.6098
grade_B,-0.0925,0.2662,-0.6431,0.3774,0.9116492109644617,0.5256603485525456,1.4584875877428718,0.9998,489.1424
